"ZSID","bezeichnung","EKoord","NKoord","Richtung","MotAvrg","MotTotal"
"Z062","Brunaustrasse (Rieterstrasse)",2682150.75,1245401.35,"Enge",27.84681893295552,8760
"Z063","Albisriederstrasse (Hubertus)",2680111.39,1247945.02,"Hubertus",50.18341204250292,8760
"Z063","Albisriederstrasse (Hubertus)",2680119.19,1247929.69,"Albisriederplatz",58.472491145218314,8760
"Z064","Gutstrasse (Hubertus)",2680149.109,1247840.135,"Hubertus",41.84288665879552,8760
"Z064","Gutstrasse (Hubertus)",2680149.561,1247829.965,"Birmensdorferstrasse",46.9646103896102,8760
"Z065","Hardturmstrasse (Fischerweg)",2681559.27,1249548.02,"auswärts",165.09684098438132,8760
"Z065","Hardturmstrasse (Fischerweg)",2681566.35,1249538.12,"einwärts",73.72802295314726,8760
"Z066","Stauffacherstrasse (Feldstrasse)",2681813.28,1247994.07,"Helvetiaplatz",29.812396694214932,8760
"Z066","Stauffacherstrasse (Feldstrasse)",2681828.48,1247992.53,"Seebahnstrasse",21.800619834710798,8760
"Z067","Manessestrasse (Stauffacherquai)",2682225.55,1247066.11,"A3 und Schimmelstrasse",203.35038370720108,8760
"Z068","Schimmelstrasse (Werdstrasse)",2682050.28,1247164.9,"Manessestrasse",158.56381719156897,8760
"Z068","Schimmelstrasse (Werdstrasse)",2682054,1247168,"Bahnhof Wiedikon",132.37067842765921,8760
"Z069","Seebahnstrasse (Stauffacherstrasse)",2681612,1248083,"Badenerstrasse",70.00994671403181,8760
"Z069","Seebahnstrasse (Stauffacherstrasse)",2681637.49,1248112.09,"Hohlstrasse",131.45139135583221,8760
"Z070","Hohlstrasse (Erismannstrasse)",2681629.07,1248307.08,"Hardplatz",184.41393686718146,8760
"Z070","Hohlstrasse (Erismannstrasse)",2681629.46,1248290.46,"Seebahnstrasse",124.19589147286793,8760
"Z071","Badenerstrasse (Zypressenstrasse)",2681175.41,1247887.5,"Seebahnstrasse",49.108514041947984,8760
"Z071","Badenerstrasse (Zypressenstrasse)",2681183.65,1247898.67,"Albisriederplatz",63.3351996682068,8760
"Z072","Manessestrasse (Weststrasse)",2682047.59,1247026.35,"auswärts",269.3868103244138,8760
"Z072","Manessestrasse (Weststrasse)",2682055,1247019,"einwärts",204.5517700686714,8760
"Z073","Stauffacherbrücke",2682474.28,1247275.42,"See",44.18906455862962,8760
"Z073","Stauffacherbrücke",2682509.27,1247271.02,"Stauffacher",36.419477409952265,8760
"Z074","Stauffacherquai (Stauffacherbrücke)",2682467.01,1247308.4,"Hauptbahnhof",70.71836529356061,8760
"Z075","Stauffacherstrasse (Stauffacherbrücke)",2682438.72,1247315.24,"Stauffacher",51.38991477272725,8760
"Z075","Stauffacherstrasse (Stauffacherbrücke)",2682475.72,1247274.81,"See",44.18906455862962,8760
"Z076","Pfingstweidstrasse (Sportweg)",2680408,1249570,"einwärts",132.31809303977096,8760
"Z076","Pfingstweidstrasse (Sportweg)",2680534,1249530,"auswärts",166.52808357007595,8760
"Z077","Sihlhölzlibrücke (Ulmbergtunnel)",2682331.58,1247014.38,"Manessestrasse",227.54413331754552,8760
"Z078","Birmensdorferstrasse (Wasserschöpfi)",2680570,1247051,"auswärts",40.968801799668555,8760
"Z078","Birmensdorferstrasse (Wasserschöpfi)",2680627,1247048,"einwärts",43.9523739048071,8760
"Z079","A3W (A4 Uetlibergtunnel Brunau)",2681711.03,1244591.58,"Uetlibergtunnel",169.38836089854357,8760
"Z079","A3W (A4 Uetlibergtunnel Brunau)",2681737.76,1244573.5,"einwärts",164.2816051136369,8760
"Z080","A3W (Chur Brunau)",2681720.14,1244585.09,"Chur",168.82149621212122,8760
"Z080","A3W (Chur Brunau)",2681728.49,1244579.52,"einwärts",144.29900568181804,8760
"Z081","Pfingstweidstrasse (Welti Furrer Ausfahrt)",2681455.2,1249140.27,"auswärts",35.75091737689397,8760
"Z081","Pfingstweidstrasse (Welti Furrer Ausfahrt)",2681492.61,1249103.94,"Hardbrücke",84.41935961174167,8760
"Z082","Hardbrücke (Hardstrasse)",2681286.9,1248596.51,"Albissriederplatz",90.35935828877003,8760
"Z082","Hardbrücke (Hardstrasse)",2681290.57,1248593.98,"Bucheggplatz",110.28152109328599,8760
"Z083","Hardbrücke Rampen (Hohlstrasse)",2681302.84,1248632.97,"Hohlstrasse",87.11375519904898,8760
"Z083","Hardbrücke Rampen (Hohlstrasse)",2681323.95,1248627.21,"Bucheggplatz",118.975873297809,8760
"Z084","Angererstrasse Tunnelstrasse (Ulmbergtunnel)",2682555,1246755,"Bleicherweg",34.57107668565966,8760
"Z084","Angererstrasse Tunnelstrasse (Ulmbergtunnel)",2682575,1246766,"Sihlhölzli",29.8531605113636,8760
"Z085","Alfred-Escher-Strasse (Ulmbergtunnel)",2682562,1246759,"See",72.56031013257532,8760
"Z085","Alfred-Escher-Strasse (Ulmbergtunnel)",2682568,1246765,"Sihlhölzli",105.6910807291667,8760
"Z086","Binzmuehlestrasse (Seebacherstrasse)",2681645,1252090,"Affoltern",52.296797300497005,8760
"Z086","Binzmuehlestrasse (Seebacherstrasse)",2681650,1252084,"Oerlikon",48.3164219748993,8760
"Z087","Wehntalerstrasse (Nordheimstrasse)",2682668,1250941,"einwärts",63.912084628257276,8760
"Z087","Wehntalerstrasse (Nordheimstrasse)",2682671,1250955,"Affoltern",51.94393795879707,8760
"Z088","Regensbergstrasse (Birchstrasse)",2682930,1251564,"Affoltern",43.10120106761563,8760
"Z088","Regensbergstrasse (Birchstrasse)",2682940,1251551,"Oerlikon",34.35215832824867,8760
"Z089","Wallisellenstrasse (Saatlenstrasse)",2684856,1251730,"einwärts",41.12813683712106,8760
"Z089","Wallisellenstrasse (Saatlenstrasse)",2684870,1251725,"auswärts",26.894560842802957,8760
